name,party
Степкин Евгений Валериевич,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
Федоров Георгий Владимирович,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Школьников Александр Наумович,Самовыдвижение
Востоков Юрий Александрович,Самовыдвижение
Кустов Алексей Евгеньевич,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
Метельский Андрей Николаевич,Самовыдвижение
Остриков Иван Владимирович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ
Савостьянов Сергей Владимирович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Андреева Александра Александровна,Самовыдвижение
Андреева Александра Сергеевна,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Гордиенко Татьяна Владимировна,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ
Косова Вера Александровна,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
Молев Антон Ильич,Самовыдвижение
Тимонов Михаил Леонидович,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Максимов Виктор Валерьевич,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Медведков Андрей Александрович,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Татулова Анастасия Анатольевна,Самовыдвижение
Хованец Илья Николаевич,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
Марусенко Марья Михайловна,Самовыдвижение
Медведев Антон Владимирович,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
Табашников Николай Игоревич,Самовыдвижение
Шестакова Дарья Андреевна,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Янчук Елена Юрьевна,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Волков Кирилл Олегович,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
Ильин Роман Анатольевич,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ
Назарова Ирина Александровна,Самовыдвижение
Шереметьев Олег Михайлович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Букреев Виктор Васильевич,Московское городское отделение Политической партии ЛДПР - Либерально-демократической партии России
Даниловцев Валерий Валерьевич,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Захаров Дмитрий Александрович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ Политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ
Ступин Евгений Викторович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Шингаркин Максим Андреевич,Региональное отделение ВСЕРОССИЙСКОЙ ПОЛИТИЧЕСКОЙ ПАРТИИ РОДИНА в городе Москве
Бородина Екатерина Сергеевна,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Зюганов Леонид Андреевич,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
