name,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won,declined,smart_vote,joined_united_rus,state_employee,party
Сараев Дмитрий Михайлович,22,11018,151896,31501,330,2028,22.29,0.22,1.34,False,0,1,-1,-1,4
Святенко Инна Юрьевна,22,15190,151896,31501,330,2028,22.29,0.22,1.34,True,0,0,1,1,0
Булатов Антон Эминович,23,2183,145703,26857,403,2616,20.5,0.28,1.8,False,4,0,-1,-1,3
Гуличева Елена Геннадьевна,23,10782,145703,26857,403,2616,20.5,0.28,1.8,False,4,1,-1,-1,4
Николаева Елена Леонидовна,23,12119,145703,26857,403,2616,20.5,0.28,1.8,True,4,0,1,1,0
Померанцев Георгий Александрович,23,2694,145703,26857,403,2616,20.5,0.28,1.8,False,4,0,-1,-1,5
Абраменко Екатерина Анатольевна,24,2565,173481,35129,650,4351,23.13,0.37,2.51,False,0,0,-1,-1,8
Балабуткин Алексей Алексеевич,24,1095,173481,35129,650,4351,23.13,0.37,2.51,False,0,0,-1,-1,3
Дягилев Игорь Владимирович,24,13241,173481,35129,650,4351,23.13,0.37,2.51,False,0,0,-1,1,0
Тарасов Антон Александрович,24,2975,173481,35129,650,4351,23.13,0.37,2.51,False,0,0,-1,0,0
Тарасов Павел Михайлович,24,15603,173481,35129,650,4351,23.13,0.37,2.51,True,0,1,0,-1,4
Шереметьев Николай Васильевич,24,3105,173481,35129,650,4351,23.13,0.37,2.51,False,0,0,-1,-1,5
Коцюба Владислав Вадимович,25,887,143226,27708,351,3067,21.73,0.25,2.14,False,3,0,-1,-1,8
Меркулов Денис Валерьевич,25,2967,143226,27708,351,3067,21.73,0.25,2.14,False,3,0,-1,-1,5
Орел Андрей Викторович,25,10488,143226,27708,351,3067,21.73,0.25,2.14,False,3,1,-1,-1,4
Полищук Станислав Петрович,25,642,143226,27708,351,3067,21.73,0.25,2.14,False,3,0,-1,0,0
Ракитин Дмитрий Андреевич,25,1344,143226,27708,351,3067,21.73,0.25,2.14,False,3,0,-1,-1,3
Смирнов Сергей Михайлович,25,1945,143226,27708,351,3067,21.73,0.25,2.14,False,3,0,-1,-1,1
Стебенкова Людмила Васильевна,25,11600,143226,27708,351,3067,21.73,0.25,2.14,True,3,0,1,1,0
Аксенов Илья Андреевич,26,2567,140568,25794,421,2154,20.18,0.3,1.53,False,0,0,-1,-1,5
Анисимова Светлана Геннадьевна,26,3243,140568,25794,421,2154,20.18,0.3,1.53,False,0,0,-1,-1,3
Исполатов Андрей Борисович,26,3709,140568,25794,421,2154,20.18,0.3,1.53,False,0,1,-1,-1,4
Калинин Владимир Александрович,26,7087,140568,25794,421,2154,20.18,0.3,1.53,False,0,0,-1,-1,8
Щитов Кирилл Владимирович,26,10553,140568,25794,421,2154,20.18,0.3,1.53,True,0,0,1,1,0
Гоголев Виктор Александрович,27,1959,144980,29069,513,1875,21.7,0.35,1.29,False,0,0,-1,-1,3
Дрыга Алексей Сергеевич,27,11044,144980,29069,513,1875,21.7,0.35,1.29,False,0,1,-1,-1,4
Ерохов Сергей Викторович,27,1999,144980,29069,513,1875,21.7,0.35,1.29,False,0,0,-1,-1,8
Коровин Сергей Николаевич,27,2285,144980,29069,513,1875,21.7,0.35,1.29,False,0,0,-1,-1,5
Орлов Степан Владимирович,27,12943,144980,29069,513,1875,21.7,0.35,1.29,True,0,0,1,1,0
Елисеев Сергей Геннадиевич,28,2377,143737,26861,431,2631,20.82,0.3,1.83,False,1,0,-1,-1,5
Лазарев Константин Александрович,28,6992,143737,26861,431,2631,20.82,0.3,1.83,False,1,1,-1,-1,4
Павлинов Аркадий Борисович,28,7716,143737,26861,431,2631,20.82,0.3,1.83,False,1,0,-1,-1,8
Самышина Елена Александровна,28,11570,143737,26861,431,2631,20.82,0.3,1.83,True,1,0,1,1,0
Артемьев Олег Германович,29,11560,147489,25366,470,2065,18.92,0.32,1.4,True,1,0,1,1,0
Журавский Сергей Владимирович,29,2337,147489,25366,470,2065,18.92,0.32,1.4,False,1,0,-1,-1,8
Сергеев Николай Владимирович,29,9288,147489,25366,470,2065,18.92,0.32,1.4,False,1,1,-1,-1,4
Чернышов Борис Александрович,29,3510,147489,25366,470,2065,18.92,0.32,1.4,False,1,0,-1,-1,5
Викулин Петр Николаевич,30,2641,155055,31819,316,1799,21.89,0.2,1.16,False,3,0,-1,-1,3
Галибин Илья Геннадьевич,30,1387,155055,31819,316,1799,21.89,0.2,1.16,False,3,0,-1,-1,5
Жуковский Владислав Сергеевич,30,8346,155055,31819,316,1799,21.89,0.2,1.16,False,3,1,-1,-1,4
Русецкая Маргарита Николаевна,30,9645,155055,31819,316,1799,21.89,0.2,1.16,True,3,0,1,1,0
Цыба Алексей Николаевич,30,1156,155055,31819,316,1799,21.89,0.2,1.16,False,3,0,-1,-1,8
Юнеман Роман Александрович,30,9561,155055,31819,316,1799,21.89,0.2,1.16,False,3,0,-1,0,0
Жандарова Юлия Александровна,31,2349,144846,27625,614,1608,20.61,0.42,1.11,False,1,0,-1,-1,8
Зверев Сергей Иванович,31,8774,144846,27625,614,1608,20.61,0.42,1.11,False,1,0,-1,1,0
Милешин Андрей Леонидович,31,2669,144846,27625,614,1608,20.61,0.42,1.11,False,1,0,-1,-1,3
Никитина Любовь Евгеньевна,31,13173,144846,27625,614,1608,20.61,0.42,1.11,True,1,1,0,-1,4
Шманцарь Юлия Александровна,31,1755,144846,27625,614,1608,20.61,0.42,1.11,False,1,0,-1,-1,5
Бернев Владимир Владимирович,32,2192,145555,29467,486,3330,22.87,0.33,2.29,False,1,0,-1,-1,5
Залищак Владимир Борисович,32,2192,145555,29467,486,3330,22.87,0.33,2.29,False,1,1,-1,-1,8
Куликов Денис Павлович,32,1665,145555,29467,486,3330,22.87,0.33,2.29,False,1,0,-1,-1,3
Лихачев Клим Сергеевич,32,11679,145555,29467,486,3330,22.87,0.33,2.29,False,1,0,-1,-1,4
Мельникова Ольга Николаевна,32,12119,145555,29467,486,3330,22.87,0.33,2.29,True,1,0,1,1,0
Падалка Сергей Андреевич,32,2155,145555,29467,486,3330,22.87,0.33,2.29,False,1,0,-1,-1,2
Гринченко Владимир Владимирович,33,3127,184588,32959,932,1471,19.16,0.5,0.8,False,1,0,-1,-1,5
Гусева Людмила Ивановна,33,14401,184588,32959,932,1471,19.16,0.5,0.8,True,1,0,1,1,0
Папян Гарегин Гришаевич,33,1132,184588,32959,932,1471,19.16,0.5,0.8,False,1,0,-1,-1,8
Присняк Виктор Владимирович,33,1451,184588,32959,932,1471,19.16,0.5,0.8,False,1,0,-1,-1,7
Смирнов Левон Леонидович,33,11284,184588,32959,932,1471,19.16,0.5,0.8,False,1,1,-1,-1,4
Федоров Павел Сергеевич,33,2731,184588,32959,932,1471,19.16,0.5,0.8,False,1,0,-1,-1,3
Гладкова Юлия Генриховна,34,11314,162669,29802,1091,1887,20.15,0.67,1.16,False,0,1,-1,-1,4
Семенников Александр Григорьевич,34,11888,162669,29802,1091,1887,20.15,0.67,1.16,True,0,0,1,1,0
Филатов Александр Иванович,34,2071,162669,29802,1091,1887,20.15,0.67,1.16,False,0,0,-1,-1,3
Чирков Максим Андреевич,34,4157,162669,29802,1091,1887,20.15,0.67,1.16,False,0,0,-1,-1,8
Юриков Антон Вадимович,34,2106,162669,29802,1091,1887,20.15,0.67,1.16,False,0,0,-1,-1,5
Аграновский Дмитрий Владимирович,35,4485,174827,34762,858,2396,21.74,0.49,1.37,False,0,0,-1,-1,4
Васильев Сергей Иванович,35,10754,174827,34762,858,2396,21.74,0.49,1.37,False,0,1,-1,-1,8
Малахов Сергей Викторович,35,2866,174827,34762,858,2396,21.74,0.49,1.37,False,0,0,-1,1,0
Метлина Наталия Борисовна,35,13285,174827,34762,858,2396,21.74,0.49,1.37,True,0,0,1,1,0
Монахов Михаил Игоревич,35,2204,174827,34762,858,2396,21.74,0.49,1.37,False,0,0,-1,-1,5
Рязанов Владимир Викторович,35,3021,174827,34762,858,2396,21.74,0.49,1.37,False,0,0,-1,-1,3
Курганский Сергей Борисович,36,10845,145138,27537,956,2502,21.36,0.66,1.72,False,0,1,-1,-1,4
Папета Артём Владимирович,36,1084,145138,27537,956,2502,21.36,0.66,1.72,False,0,0,-1,1,0
Покатаев Алексей Николаевич,36,1308,145138,27537,956,2502,21.36,0.66,1.72,False,0,0,-1,-1,3
Репников Дмитрий Александрович,36,3618,145138,27537,956,2502,21.36,0.66,1.72,False,0,0,-1,-1,5
Рябцева Олеся Александровна,36,2141,145138,27537,956,2502,21.36,0.66,1.72,False,0,0,-1,-1,8
Шарапова Ольга Викторовна,36,10871,145138,27537,956,2502,21.36,0.66,1.72,True,0,0,1,1,0
Губенко Николай Николаевич,37,20621,170972,32023,1035,2411,20.75,0.61,1.41,True,2,1,0,-1,4
Максимов Юрий Николаевич,37,6751,170972,32023,1035,2411,20.75,0.61,1.41,False,2,0,-1,-1,5
Романович Александр Леонидович,37,6076,170972,32023,1035,2411,20.75,0.61,1.41,False,2,0,-1,-1,8
Андрусенко Наталия Юрьевна,38,5179,254738,58759,944,2147,24.28,0.37,0.84,False,1,0,-1,-1,3
Глек Игорь Владимирович,38,15437,254738,58759,944,2147,24.28,0.37,0.84,False,1,0,-1,-1,8
Еремина Людмила Александровна,38,9175,254738,58759,944,2147,24.28,0.37,0.84,False,1,1,-1,-1,4
Козлов Александр Михайлович,38,22021,254738,58759,944,2147,24.28,0.37,0.84,True,1,0,1,1,0
Смирнов Станислав Александрович,38,6523,254738,58759,944,2147,24.28,0.37,0.84,False,1,0,-1,-1,5
Безрядов Андрей Валерьевич,39,4483,184190,39424,1075,1987,23.07,0.58,1.08,False,1,0,-1,-1,8
Бестаев Николай Самсонович,39,4274,184190,39424,1075,1987,23.07,0.58,1.08,False,1,0,-1,-1,3
Видьманов Александр Олегович,39,11945,184190,39424,1075,1987,23.07,0.58,1.08,False,1,1,-1,-1,4
Головченко Валерий Владимирович,39,14992,184190,39424,1075,1987,23.07,0.58,1.08,True,1,0,1,0,0
