name,party,smart_vote,joined_united_rus,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won,declined
Табашников Николай Игоревич,0,0,-1,18,8386,142432,32958,383,2887,25.44,0.27,2.03,0,0
Шестакова Дарья Андреевна,8,0,-1,18,1912,142432,32958,383,2887,25.44,0.27,2.03,0,0
Янчук Елена Юрьевна,4,1,0,18,15246,142432,32958,383,2887,25.44,0.27,2.03,1,0
Волков Кирилл Олегович,5,0,-1,19,2955,145292,27660,362,2285,20.86,0.25,1.57,0,0
Ильин Роман Анатольевич,3,0,-1,19,2224,145292,27660,362,2285,20.86,0.25,1.57,0,0
Назарова Ирина Александровна,0,0,-1,19,11558,145292,27660,362,2285,20.86,0.25,1.57,0,0
Шереметьев Олег Михайлович,4,1,0,19,12172,145292,27660,362,2285,20.86,0.25,1.57,1,0
Букреев Виктор Васильевич,5,0,-1,20,3664,165776,36081,635,2217,23.49,0.38,1.34,0,1
Даниловцев Валерий Валерьевич,8,0,-1,20,4137,165776,36081,635,2217,23.49,0.38,1.34,0,1
Захаров Дмитрий Александрович,3,0,-1,20,3112,165776,36081,635,2217,23.49,0.38,1.34,0,1
Шингаркин Максим Андреевич,7,0,-1,20,8512,165776,36081,635,2217,23.49,0.38,1.34,0,1
Ступин Евгений Викторович,4,1,0,20,17496,165776,36081,635,2217,23.49,0.38,1.34,1,1
Зюганов Леонид Андреевич,4,1,0,21,17233,151844,26730,313,3048,19.82,0.21,2.01,1,0
Бородина Екатерина Сергеевна,8,0,-1,21,3173,151844,26730,313,3048,19.82,0.21,2.01,0,0
Шах Андрей Викторович,5,1,-1,21,2767,151844,26730,313,3048,19.82,0.21,2.01,0,0
Шевченко Вера Леонидовна,0,1,-1,21,5362,151844,26730,313,3048,19.82,0.21,2.01,0,0
Бадмаев Владимир Владимирович,3,0,-1,22,1809,151896,31501,330,2028,22.29,0.22,1.34,0,0
Егоров Антон Олегович,5,0,-1,22,2475,151896,31501,330,2028,22.29,0.22,1.34,0,0
Монастырев Дмитрий Юрьевич,8,0,-1,22,1849,151896,31501,330,2028,22.29,0.22,1.34,0,0
Сараев Дмитрий Михайлович,4,1,-1,22,11018,151896,31501,330,2028,22.29,0.22,1.34,0,0
Святенко Инна Юрьевна,0,0,1,22,15190,151896,31501,330,2028,22.29,0.22,1.34,1,0
