name,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won,party,joined_united_rus,declined,ur_affiliated
Крапухин Алексей Игоревич,15,3467,145492,26590,312,2058,19.9,0.21,1.41,False,9,0,2,0
Метельский Андрей Николаевич,15,15423,145492,26590,312,2058,19.9,0.21,1.41,True,10,1,2,1
Тимонин Максим Анатольевич,15,4064,145492,26590,312,2058,19.9,0.21,1.41,False,4,0,2,0
Шилов Станислав Александрович,15,1953,145492,26590,312,2058,19.9,0.21,1.41,False,0,0,2,0
Юрьев Михаил Владимирович,15,1294,145492,26590,312,2058,19.9,0.21,1.41,False,5,0,2,0
Грищенко Елена Аркадьевна,16,3324,145793,29538,307,1823,21.72,0.21,1.25,False,9,0,1,0
Лазарев Николай Леонидович,16,1422,145793,29538,307,1823,21.72,0.21,1.25,False,5,0,1,0
Молев Антон Ильич,16,14476,145793,29538,307,1823,21.72,0.21,1.25,True,0,1,1,0
Мустафин Марат Махсутович,16,729,145793,29538,307,1823,21.72,0.21,1.25,False,0,0,1,0
Парфенов Денис Андреевич,16,6098,145793,29538,307,1823,21.72,0.21,1.25,False,4,0,1,0
Тимонов Михаил Леонидович,16,4431,145793,29538,307,1823,21.72,0.21,1.25,False,8,0,1,0
Андреев Андрей Владимирович,17,1628,147050,31108,283,2068,22.75,0.19,1.41,False,5,0,2,0
Брумель Игорь Николаевич,17,1210,147050,31108,283,2068,22.75,0.19,1.41,False,8,0,2,0
Петров Михаил Владимирович,17,5703,147050,31108,283,2068,22.75,0.19,1.41,False,4,0,2,0
Пинясов Николай Сергеевич,17,2218,147050,31108,283,2068,22.75,0.19,1.41,False,9,0,2,0
Пономарев Алексей Анатольевич,17,3148,147050,31108,283,2068,22.75,0.19,1.41,False,0,0,2,1
Сметанов Александр Юрьевич,17,18190,147050,31108,283,2068,22.75,0.19,1.41,True,10,1,2,1
Бабыкина Галина Дмитриевна,18,1282,145360,31333,262,2563,23.5,0.18,1.76,False,0,0,2,0
Бурд Семен Яковлевич,18,3416,145360,31333,262,2563,23.5,0.18,1.76,False,9,0,2,0
Киреев Андрей Николаевич,18,2117,145360,31333,262,2563,23.5,0.18,1.76,False,5,0,2,0
Махмутова Айгуль Фатиховна,18,654,145360,31333,262,2563,23.5,0.18,1.76,False,8,0,2,0
Назарова Ирина Александровна,18,13921,145360,31333,262,2563,23.5,0.18,1.76,True,0,1,2,0
Погорелов Владимир Васильевич,18,1489,145360,31333,262,2563,23.5,0.18,1.76,False,0,0,2,0
Чуканова Маргарита Алексеевна,18,10182,145360,31333,262,2563,23.5,0.18,1.76,False,4,0,2,0
Карасева Вера Юрьевна,19,4305,149223,30500,259,2268,22.13,0.17,1.52,False,9,0,0,0
Кругляков Виктор Михайлович,19,16855,149223,30500,259,2268,22.13,0.17,1.52,True,10,1,0,1
Лапин Юрий Ерминингельдович,19,6073,149223,30500,259,2268,22.13,0.17,1.52,False,4,0,0,0
Майоров Максим Александрович,19,2567,149223,30500,259,2268,22.13,0.17,1.52,False,8,0,0,0
Новиков Михаил Михайлович,19,1842,149223,30500,259,2268,22.13,0.17,1.52,False,5,0,0,0
Корсаков Евгений Геннадьевич,20,2679,150742,31733,286,1486,22.23,0.19,0.99,False,5,0,1,0
Молохов Александр Владимирович,20,2620,150742,31733,286,1486,22.23,0.19,0.99,False,9,0,1,0
Павленко Александр Александрович,20,2356,150742,31733,286,1486,22.23,0.19,0.99,False,8,0,1,0
Тимченко Александр Николаевич,20,6379,150742,31733,286,1486,22.23,0.19,0.99,False,4,0,1,0
Шибаев Андрей Вячеславович,20,17009,150742,31733,286,1486,22.23,0.19,0.99,True,7,0,1,0
Шульмин Виталий Юрьевич,20,1201,150742,31733,286,1486,22.23,0.19,0.99,False,0,0,1,0
Балабуткин Алексей Алексеевич,21,1462,156765,34580,462,2436,23.91,0.29,1.55,False,0,0,0,0
Зотов Владимир Борисович,21,12037,156765,34580,462,2436,23.91,0.29,1.55,False,10,0,0,1
Катков Валерий Семенович,21,5051,156765,34580,462,2436,23.91,0.29,1.55,False,8,0,0,0
Клычков Андрей Евгеньевич,21,13968,156765,34580,462,2436,23.91,0.29,1.55,True,4,0,0,0
Липагин Артём Владимирович,21,858,156765,34580,462,2436,23.91,0.29,1.55,False,5,0,0,0
Родионова Светлана Сергеевна,21,3035,156765,34580,462,2436,23.91,0.29,1.55,False,9,0,0,0
Власов Александр Витальевич,22,3045,153529,30585,261,1809,21.27,0.17,1.18,False,5,0,3,0
Волков Владимир Николаевич,22,5828,153529,30585,261,1809,21.27,0.17,1.18,False,4,0,3,0
Караваева Марина Степановна,22,3203,153529,30585,261,1809,21.27,0.17,1.18,False,9,0,3,0
Святенко Инна Юрьевна,22,18158,153529,30585,261,1809,21.27,0.17,1.18,True,10,1,3,1
Солянин Валерий Владимирович,22,1335,153529,30585,261,1809,21.27,0.17,1.18,False,8,0,3,0
Гуличева Елена Петровна,23,5935,148145,26950,280,2025,19.75,0.19,1.37,False,4,0,3,0
Новиков Юрий Николаевич,23,2496,148145,26950,280,2025,19.75,0.19,1.37,False,5,0,3,0
Платонов Владимир Михайлович,23,14201,148145,26950,280,2025,19.75,0.19,1.37,True,10,1,3,1
Прочик Евгений Евгеньевич,23,1832,148145,26950,280,2025,19.75,0.19,1.37,False,9,0,3,0
Шишкин Сергей Владимирович,23,3659,148145,26950,280,2025,19.75,0.19,1.37,False,8,0,3,0
Зотов Владимир Владимирович,24,5163,175114,35375,686,3374,22.52,0.39,1.93,False,8,0,2,0
Зотова Зоя Михайловна,24,15922,175114,35375,686,3374,22.52,0.39,1.93,True,10,1,2,1
Ким Сергей Степанович,24,1270,175114,35375,686,3374,22.52,0.39,1.93,False,0,0,2,0
Овчаренко Татьяна Иосифовна,24,3434,175114,35375,686,3374,22.52,0.39,1.93,False,9,0,2,0
Протасов Роман Игоревич,24,1917,175114,35375,686,3374,22.52,0.39,1.93,False,5,0,2,0
Тарасов Павел Михайлович,24,10314,175114,35375,686,3374,22.52,0.39,1.93,False,4,0,2,0
Ананьев Олег Вячеславович,25,2355,148539,29113,295,2326,21.36,0.2,1.57,False,0,0,7,1
Антонов-Овсеенко Антон Антонович,25,2358,148539,29113,295,2326,21.36,0.2,1.57,False,9,0,7,0
Енгалычева Екатерина Александровна,25,5244,148539,29113,295,2326,21.36,0.2,1.57,False,4,0,7,0
Козадаев Сергей Сергеевич,25,1588,148539,29113,295,2326,21.36,0.2,1.57,False,5,0,7,0
Мещерякова Наталья Юрьевна,25,2303,148539,29113,295,2326,21.36,0.2,1.57,False,8,0,7,0
Стебенкова Людмила Васильевна,25,16701,148539,29113,295,2326,21.36,0.2,1.57,True,10,1,7,1
Балашов Евгений Борисович,26,10330,146929,30241,851,933,21.8,0.58,0.64,False,4,0,1,0
Медовар Юрий Анатольевич,26,1922,146929,30241,851,933,21.8,0.58,0.64,False,9,0,1,0
Пройдаков Андрей Юрьевич,26,966,146929,30241,851,933,21.8,0.58,0.64,False,8,0,1,0
Федосов Владислав Владимирович,26,1379,146929,30241,851,933,21.8,0.58,0.64,False,5,0,1,0
Щитов Кирилл Владимирович,26,16419,146929,30241,851,933,21.8,0.58,0.64,True,10,1,1,1
Гоголев Виктор Александрович,27,2491,152328,31322,846,1281,21.96,0.56,0.84,False,0,0,2,0
Добровольский Алексей Юрьевич,27,4872,152328,31322,846,1281,21.96,0.56,0.84,False,4,0,2,0
Орлов Степан Владимирович,27,23007,152328,31322,846,1281,21.96,0.56,0.84,True,10,1,2,1
Щербакова Ольга Александровна,27,1645,152328,31322,846,1281,21.96,0.56,0.84,False,5,0,2,0
Антонцев Михаил Иванович,28,14280,150339,29049,890,1694,21.04,0.59,1.13,True,10,1,1,1
Жармуханов Николай Люкманович,28,604,150339,29049,890,1694,21.04,0.59,1.13,False,0,0,1,0
Каров Кирилл Николаевич,28,1787,150339,29049,890,1694,21.04,0.59,1.13,False,5,0,1,0
Куимов Владимир Михайлович,28,5216,150339,29049,890,1694,21.04,0.59,1.13,False,4,0,1,0
Мирошина Марина Геннадьевна,28,5365,150339,29049,890,1694,21.04,0.59,1.13,False,8,0,1,0
Яблоков Алексей Владимирович,28,3241,150339,29049,890,1694,21.04,0.59,1.13,False,9,0,1,0
Гендин Геннадий Васильевич,29,4054,149556,27813,865,1607,20.25,0.58,1.07,False,8,0,2,0
Медведев Александр Константинович,29,7274,149556,27813,865,1607,20.25,0.58,1.07,False,4,0,2,0
Минько Нина Григорьевна,29,10941,149556,27813,865,1607,20.25,0.58,1.07,True,0,1,2,0
Петров Иван Евгеньевич,29,4835,149556,27813,865,1607,20.25,0.58,1.07,False,5,0,2,0
Пороховниченко Юрий Иванович,29,1308,149556,27813,865,1607,20.25,0.58,1.07,False,9,0,2,0
Сонкин Виктор Николаевич,29,815,149556,27813,865,1607,20.25,0.58,1.07,False,0,0,2,0
Давыдов Денис Владимирович,30,5417,159465,29484,856,1570,20.01,0.54,0.98,False,4,0,1,0
Елисеев Сергей Геннадиевич,30,1645,159465,29484,856,1570,20.01,0.54,0.98,False,5,0,1,0
Мишин Алексей Валентинович,30,16069,159465,29484,856,1570,20.01,0.54,0.98,True,0,1,1,0
Новиков Дмитрий Владимирович,30,2352,159465,29484,856,1570,20.01,0.54,0.98,False,9,0,1,0
Поняхина Марина Анатольевна,30,1489,159465,29484,856,1570,20.01,0.54,0.98,False,8,0,1,0
Репкина Елена Владимировна,30,3860,159465,29484,856,1570,20.01,0.54,0.98,False,0,0,1,0
Анохин Сергей Владимирович,31,1346,148225,28338,890,1544,20.76,0.6,1.04,False,8,0,4,0
Грязнова Варвара Леонидовна,31,4259,148225,28338,890,1544,20.76,0.6,1.04,False,9,0,4,0
Зверев Сергей Иванович,31,16018,148225,28338,890,1544,20.76,0.6,1.04,True,10,1,4,1
Курафеев Александр Юрьевич,31,4536,148225,28338,890,1544,20.76,0.6,1.04,False,4,0,4,0
Новикова Анна Сергеевна,31,1033,148225,28338,890,1544,20.76,0.6,1.04,False,5,0,4,0
Сухов Олег Владимирович,31,2288,148225,28338,890,1544,20.76,0.6,1.04,False,0,0,4,1
Гончаров Кирилл Алексеевич,32,7944,152142,30832,679,2023,22.04,0.45,1.33,False,9,0,4,0
Дьячков Роман Михайлович,32,4326,152142,30832,679,2023,22.04,0.45,1.33,False,4,0,4,0
Журавский Сергей Владимирович,32,1807,152142,30832,679,2023,22.04,0.45,1.33,False,8,0,4,0
