name,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won
Тарасов Антон Александрович,24,2975,173481,35129,650,4351,23.13,0.37,2.51,False
Тарасов Павел Михайлович,24,15603,173481,35129,650,4351,23.13,0.37,2.51,True
Шереметьев Николай Васильевич,24,3105,173481,35129,650,4351,23.13,0.37,2.51,False
Коцюба Владислав Вадимович,25,887,143226,27708,351,3067,21.73,0.25,2.14,False
Меркулов Денис Валерьевич,25,2967,143226,27708,351,3067,21.73,0.25,2.14,False
Орел Андрей Викторович,25,10488,143226,27708,351,3067,21.73,0.25,2.14,False
Полищук Станислав Петрович,25,642,143226,27708,351,3067,21.73,0.25,2.14,False
Ракитин Дмитрий Андреевич,25,1344,143226,27708,351,3067,21.73,0.25,2.14,False
Смирнов Сергей Михайлович,25,1945,143226,27708,351,3067,21.73,0.25,2.14,False
Стебенкова Людмила Васильевна,25,11600,143226,27708,351,3067,21.73,0.25,2.14,True
Аксенов Илья Андреевич,26,2567,140568,25794,421,2153,20.18,0.3,1.53,False
Анисимова Светлана Геннадьевна,26,3243,140568,25794,421,2153,20.18,0.3,1.53,False
Исполатов Андрей Борисович,26,3709,140568,25794,421,2153,20.18,0.3,1.53,False
Калинин Владимир Александрович,26,7087,140568,25794,421,2153,20.18,0.3,1.53,False
Щитов Кирилл Владимирович,26,10553,140568,25794,421,2153,20.18,0.3,1.53,True
Гоголев Виктор Александрович,27,1959,144980,29069,513,1876,21.7,0.35,1.29,False
Дрыга Алексей Сергеевич,27,11044,144980,29069,513,1876,21.7,0.35,1.29,False
Ерохов Сергей Викторович,27,1999,144980,29069,513,1876,21.7,0.35,1.29,False
Коровин Сергей Николаевич,27,2285,144980,29069,513,1876,21.7,0.35,1.29,False
Орлов Степан Владимирович,27,12943,144980,29069,513,1876,21.7,0.35,1.29,True
Елисеев Сергей Геннадиевич,28,2377,143737,26861,431,2632,20.82,0.3,1.83,False
Лазарев Константин Александрович,28,6992,143737,26861,431,2632,20.82,0.3,1.83,False
Павлинов Аркадий Борисович,28,7716,143737,26861,431,2632,20.82,0.3,1.83,False
Самышина Елена Александровна,28,11570,143737,26861,431,2632,20.82,0.3,1.83,True
Артемьев Олег Германович,29,11560,147489,25366,470,2065,18.92,0.32,1.4,True
Журавский Сергей Владимирович,29,2337,147489,25366,470,2065,18.92,0.32,1.4,False
Сергеев Николай Владимирович,29,9288,147489,25366,470,2065,18.92,0.32,1.4,False
Чернышов Борис Александрович,29,3510,147489,25366,470,2065,18.92,0.32,1.4,False
Викулин Петр Николаевич,30,2641,155055,31819,316,1799,21.89,0.2,1.16,False
