name,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won
Корсаков Евгений Геннадьевич,20,2679,150742,31733,286,1486,22.23,0.19,0.99,False
Молохов Александр Владимирович,20,2620,150742,31733,286,1486,22.23,0.19,0.99,False
Павленко Александр Александрович,20,2356,150742,31733,286,1486,22.23,0.19,0.99,False
Тимченко Александр Николаевич,20,6379,150742,31733,286,1486,22.23,0.19,0.99,False
Шибаев Андрей Вячеславович,20,17009,150742,31733,286,1486,22.23,0.19,0.99,True
Шульмин Виталий Юрьевич,20,1201,150742,31733,286,1486,22.23,0.19,0.99,False
Балабуткин Алексей Алексеевич,21,1462,156765,34580,462,2436,23.91,0.29,1.55,False
Зотов Владимир Борисович,21,12037,156765,34580,462,2436,23.91,0.29,1.55,False
Катков Валерий Семенович,21,5051,156765,34580,462,2436,23.91,0.29,1.55,False
Клычков Андрей Евгеньевич,21,13968,156765,34580,462,2436,23.91,0.29,1.55,True
Липагин Артём Владимирович,21,858,156765,34580,462,2436,23.91,0.29,1.55,False
Родионова Светлана Сергеевна,21,3035,156765,34580,462,2436,23.91,0.29,1.55,False
Власов Александр Витальевич,22,3045,153529,30585,261,1809,21.27,0.17,1.18,False
Волков Владимир Николаевич,22,5828,153529,30585,261,1809,21.27,0.17,1.18,False
Караваева Марина Степановна,22,3203,153529,30585,261,1809,21.27,0.17,1.18,False
Святенко Инна Юрьевна,22,18158,153529,30585,261,1809,21.27,0.17,1.18,True
Солянин Валерий Владимирович,22,1335,153529,30585,261,1809,21.27,0.17,1.18,False
Гуличева Елена Петровна,23,5935,148145,26950,280,2025,19.75,0.19,1.37,False
Новиков Юрий Николаевич,23,2496,148145,26950,280,2025,19.75,0.19,1.37,False
Платонов Владимир Михайлович,23,14201,148145,26950,280,2025,19.75,0.19,1.37,True
Прочик Евгений Евгеньевич,23,1832,148145,26950,280,2025,19.75,0.19,1.37,False
Шишкин Сергей Владимирович,23,3659,148145,26950,280,2025,19.75,0.19,1.37,False
Зотов Владимир Владимирович,24,5163,175114,35375,686,3374,22.52,0.39,1.93,False
Зотова Зоя Михайловна,24,15922,175114,35375,686,3374,22.52,0.39,1.93,True
Ким Сергей Степанович,24,1270,175114,35375,686,3374,22.52,0.39,1.93,False
Овчаренко Татьяна Иосифовна,24,3434,175114,35375,686,3374,22.52,0.39,1.93,False
Протасов Роман Игоревич,24,1917,175114,35375,686,3374,22.52,0.39,1.93,False
Тарасов Павел Михайлович,24,10314,175114,35375,686,3374,22.52,0.39,1.93,False
Ананьев Олег Вячеславович,25,2355,148539,29113,295,2326,21.36,0.2,1.57,False
Антонов-Овсеенко Антон Антонович,25,2358,148539,29113,295,2326,21.36,0.2,1.57,False
Енгалычева Екатерина Александровна,25,5244,148539,29113,295,2326,21.36,0.2,1.57,False
Козадаев Сергей Сергеевич,25,1588,148539,29113,295,2326,21.36,0.2,1.57,False
Мещерякова Наталья Юрьевна,25,2303,148539,29113,295,2326,21.36,0.2,1.57,False
Стебенкова Людмила Васильевна,25,16701,148539,29113,295,2326,21.36,0.2,1.57,True
Балашов Евгений Борисович,26,10330,146929,30241,851,933,21.8,0.58,0.64,False
