name, party
Пинясов Николай Сергеевич,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Пономарев Алексей Анатольевич,Самовыдвижение
Сметанов Александр Юрьевич,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
Бабыкина Галина Дмитриевна,Самовыдвижение
Бурд Семен Яковлевич,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Киреев Андрей Николаевич,Московское городское отделение политической партии Либерально-демократическая партия России
Махмутова Айгуль Фатиховна,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Назарова Ирина Александровна,Самовыдвижение
Погорелов Владимир Васильевич,Самовыдвижение
Чуканова Маргарита Алексеевна,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Карасева Вера Юрьевна,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Кругляков Виктор Михайлович,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
Лапин Юрий Ерминингельдович,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Майоров Максим Александрович,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Новиков Михаил Михайлович,Московское городское отделение политической партии Либерально-демократическая партия России
Корсаков Евгений Геннадьевич,Московское городское отделение политической партии Либерально-демократическая партия России
Молохов Александр Владимирович,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Павленко Александр Александрович,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Тимченко Александр Николаевич,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Шибаев Андрей Вячеславович,Региональное отделение ВСЕРОССИЙСКОЙ ПОЛИТИЧЕСКОЙ ПАРТИИ РОДИНА в городе Москве
Шульмин Виталий Юрьевич,Самовыдвижение
Балабуткин Алексей Алексеевич,Самовыдвижение
Зотов Владимир Борисович,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
Катков Валерий Семенович,Региональное отделение Политической партии СПРАВЕДЛИВАЯ РОССИЯ в городе Москве
Клычков Андрей Евгеньевич,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Липагин Артём Владимирович,Московское городское отделение политической партии Либерально-демократическая партия России
Родионова Светлана Сергеевна,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Власов Александр Витальевич,Московское городское отделение политической партии Либерально-демократическая партия России
Волков Владимир Николаевич,МОСКОВСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
Караваева Марина Степановна,Региональное отделение Политической партии Российская объединенная демократическая партия ЯБЛОКО в городе Москве
Святенко Инна Юрьевна,Московское городское региональное отделение Всероссийской политической партии ЕДИНАЯ РОССИЯ
