,name,party,smart_vote,joined_united_rus,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won,declined,state_employee,affiliation
114,Тарасов Антон Александрович,0,0,-1,24,2975,173481,35129,650,4351,23.13,0.37,2.51,0,0,0,0
115,Шереметьев Николай Васильевич,5,0,-1,24,3105,173481,35129,650,4351,23.13,0.37,2.51,0,0,-1,2
116,Тарасов Павел Михайлович,4,1,0,24,15603,173481,35129,650,4351,23.13,0.37,2.51,1,0,-1,2
117,Коцюба Владислав Вадимович,8,0,-1,25,887,143226,27708,351,3067,21.73,0.25,2.14,0,3,-1,2
118,Меркулов Денис Валерьевич,5,0,-1,25,2967,143226,27708,351,3067,21.73,0.25,2.14,0,3,-1,2
119,Орел Андрей Викторович,4,1,-1,25,10488,143226,27708,351,3067,21.73,0.25,2.14,0,3,-1,2
120,Полищук Станислав Петрович,0,0,-1,25,642,143226,27708,351,3067,21.73,0.25,2.14,0,3,0,2
121,Ракитин Дмитрий Андреевич,3,0,-1,25,1344,143226,27708,351,3067,21.73,0.25,2.14,0,3,-1,0
122,Смирнов Сергей Михайлович,1,0,-1,25,1945,143226,27708,351,3067,21.73,0.25,2.14,0,3,-1,2
123,Стебенкова Людмила Васильевна,0,0,1,25,11600,143226,27708,351,3067,21.73,0.25,2.14,1,3,1,1
124,Аксенов Илья Андреевич,5,0,-1,26,2567,140568,25794,421,2153,20.18,0.3,1.53,0,0,-1,2
125,Анисимова Светлана Геннадьевна,3,0,-1,26,3243,140568,25794,421,2153,20.18,0.3,1.53,0,0,-1,0
126,Исполатов Андрей Борисович,4,1,-1,26,3709,140568,25794,421,2153,20.18,0.3,1.53,0,0,-1,2
127,Калинин Владимир Александрович,8,0,-1,26,7087,140568,25794,421,2153,20.18,0.3,1.53,0,0,-1,2
128,Щитов Кирилл Владимирович,0,0,1,26,10553,140568,25794,421,2153,20.18,0.3,1.53,1,0,1,1
129,Орлов Степан Владимирович,0,0,1,27,12943,144980,29069,513,1876,21.7,0.35,1.29,1,0,1,1
130,Гоголев Виктор Александрович,3,0,-1,27,1959,144980,29069,513,1876,21.7,0.35,1.29,0,0,-1,0
131,Дрыга Алексей Сергеевич,4,1,-1,27,11044,144980,29069,513,1876,21.7,0.35,1.29,0,0,-1,2
