,name,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won,party,joined_united_rus,declined,ur_affiliated,affiliation
91,Парфенов Денис Андреевич,16,6098,145793,29538,307,1823,21.72,0.21,1.25,False,4,0,1,0,2
92,Тимонов Михаил Леонидович,16,4431,145793,29538,307,1823,21.72,0.21,1.25,False,8,0,1,0,2
93,Андреев Андрей Владимирович,17,1628,147050,31108,283,2068,22.75,0.19,1.41,False,5,0,2,0,2
94,Брумель Игорь Николаевич,17,1210,147050,31108,283,2068,22.75,0.19,1.41,False,8,0,2,0,2
95,Петров Михаил Владимирович,17,5703,147050,31108,283,2068,22.75,0.19,1.41,False,4,0,2,0,2
96,Пинясов Николай Сергеевич,17,2218,147050,31108,283,2068,22.75,0.19,1.41,False,9,0,2,0,2
97,Пономарев Алексей Анатольевич,17,3148,147050,31108,283,2068,22.75,0.19,1.41,False,0,0,2,1,0
98,Сметанов Александр Юрьевич,17,18190,147050,31108,283,2068,22.75,0.19,1.41,True,10,1,2,1,1
99,Бабыкина Галина Дмитриевна,18,1282,145360,31333,262,2563,23.5,0.18,1.76,False,0,0,2,0,0
100,Бурд Семен Яковлевич,18,3416,145360,31333,262,2563,23.5,0.18,1.76,False,9,0,2,0,2
101,Киреев Андрей Николаевич,18,2117,145360,31333,262,2563,23.5,0.18,1.76,False,5,0,2,0,2
102,Махмутова Айгуль Фатиховна,18,654,145360,31333,262,2563,23.5,0.18,1.76,False,8,0,2,0,2
103,Назарова Ирина Александровна,18,13921,145360,31333,262,2563,23.5,0.18,1.76,True,0,1,2,0,1
104,Погорелов Владимир Васильевич,18,1489,145360,31333,262,2563,23.5,0.18,1.76,False,0,0,2,0,0
105,Чуканова Маргарита Алексеевна,18,10182,145360,31333,262,2563,23.5,0.18,1.76,False,4,0,2,0,2
106,Карасева Вера Юрьевна,19,4305,149223,30500,259,2268,22.13,0.17,1.52,False,9,0,0,0,2
107,Кругляков Виктор Михайлович,19,16855,149223,30500,259,2268,22.13,0.17,1.52,True,10,1,0,1,1
108,Лапин Юрий Ерминингельдович,19,6073,149223,30500,259,2268,22.13,0.17,1.52,False,4,0,0,0,2
109,Майоров Максим Александрович,19,2567,149223,30500,259,2268,22.13,0.17,1.52,False,8,0,0,0,2
110,Новиков Михаил Михайлович,19,1842,149223,30500,259,2268,22.13,0.17,1.52,False,5,0,0,0,2
111,Корсаков Евгений Геннадьевич,20,2679,150742,31733,286,1486,22.23,0.19,0.99,False,5,0,1,0,2
112,Молохов Александр Владимирович,20,2620,150742,31733,286,1486,22.23,0.19,0.99,False,9,0,1,0,2
113,Павленко Александр Александрович,20,2356,150742,31733,286,1486,22.23,0.19,0.99,False,8,0,1,0,2
114,Тимченко Александр Николаевич,20,6379,150742,31733,286,1486,22.23,0.19,0.99,False,4,0,1,0,2
115,Шибаев Андрей Вячеславович,20,17009,150742,31733,286,1486,22.23,0.19,0.99,True,7,0,1,0,2
116,Шульмин Виталий Юрьевич,20,1201,150742,31733,286,1486,22.23,0.19,0.99,False,0,0,1,0,0
117,Балабуткин Алексей Алексеевич,21,1462,156765,34580,462,2436,23.91,0.29,1.55,False,0,0,0,0,0
118,Зотов Владимир Борисович,21,12037,156765,34580,462,2436,23.91,0.29,1.55,False,10,0,0,1,1
119,Катков Валерий Семенович,21,5051,156765,34580,462,2436,23.91,0.29,1.55,False,8,0,0,0,2
120,Клычков Андрей Евгеньевич,21,13968,156765,34580,462,2436,23.91,0.29,1.55,True,4,0,0,0,2
121,Липагин Артём Владимирович,21,858,156765,34580,462,2436,23.91,0.29,1.55,False,5,0,0,0,2
122,Родионова Светлана Сергеевна,21,3035,156765,34580,462,2436,23.91,0.29,1.55,False,9,0,0,0,2
123,Власов Александр Витальевич,22,3045,153529,30585,261,1809,21.27,0.17,1.18,False,5,0,3,0,2
124,Волков Владимир Николаевич,22,5828,153529,30585,261,1809,21.27,0.17,1.18,False,4,0,3,0,2
125,Караваева Марина Степановна,22,3203,153529,30585,261,1809,21.27,0.17,1.18,False,9,0,3,0,2
126,Святенко Инна Юрьевна,22,18158,153529,30585,261,1809,21.27,0.17,1.18,True,10,1,3,1,1
127,Солянин Валерий Владимирович,22,1335,153529,30585,261,1809,21.27,0.17,1.18,False,8,0,3,0,2
128,Гуличева Елена Петровна,23,5935,148145,26950,280,2025,19.75,0.19,1.37,False,4,0,3,0,2
129,Новиков Юрий Николаевич,23,2496,148145,26950,280,2025,19.75,0.19,1.37,False,5,0,3,0,2
130,Платонов Владимир Михайлович,23,14201,148145,26950,280,2025,19.75,0.19,1.37,True,10,1,3,1,1
131,Прочик Евгений Евгеньевич,23,1832,148145,26950,280,2025,19.75,0.19,1.37,False,9,0,3,0,2
132,Шишкин Сергей Владимирович,23,3659,148145,26950,280,2025,19.75,0.19,1.37,False,8,0,3,0,2
133,Зотов Владимир Владимирович,24,5163,175114,35375,686,3374,22.52,0.39,1.93,False,8,0,2,0,2
134,Зотова Зоя Михайловна,24,15922,175114,35375,686,3374,22.52,0.39,1.93,True,10,1,2,1,1
135,Ким Сергей Степанович,24,1270,175114,35375,686,3374,22.52,0.39,1.93,False,0,0,2,0,0
136,Овчаренко Татьяна Иосифовна,24,3434,175114,35375,686,3374,22.52,0.39,1.93,False,9,0,2,0,2
137,Протасов Роман Игоревич,24,1917,175114,35375,686,3374,22.52,0.39,1.93,False,5,0,2,0,2
138,Тарасов Павел Михайлович,24,10314,175114,35375,686,3374,22.52,0.39,1.93,False,4,0,2,0,2
139,Ананьев Олег Вячеславович,25,2355,148539,29113,295,2326,21.36,0.2,1.57,False,0,0,7,1,0
140,Антонов-Овсеенко Антон Антонович,25,2358,148539,29113,295,2326,21.36,0.2,1.57,False,9,0,7,0,2
141,Енгалычева Екатерина Александровна,25,5244,148539,29113,295,2326,21.36,0.2,1.57,False,4,0,7,0,2
142,Козадаев Сергей Сергеевич,25,1588,148539,29113,295,2326,21.36,0.2,1.57,False,5,0,7,0,2
143,Мещерякова Наталья Юрьевна,25,2303,148539,29113,295,2326,21.36,0.2,1.57,False,8,0,7,0,2
144,Стебенкова Людмила Васильевна,25,16701,148539,29113,295,2326,21.36,0.2,1.57,True,10,1,7,1,1
145,Балашов Евгений Борисович,26,10330,146929,30241,851,933,21.8,0.58,0.64,False,4,0,1,0,2
146,Медовар Юрий Анатольевич,26,1922,146929,30241,851,933,21.8,0.58,0.64,False,9,0,1,0,2
147,Пройдаков Андрей Юрьевич,26,966,146929,30241,851,933,21.8,0.58,0.64,False,8,0,1,0,2
148,Федосов Владислав Владимирович,26,1379,146929,30241,851,933,21.8,0.58,0.64,False,5,0,1,0,2
149,Щитов Кирилл Владимирович,26,16419,146929,30241,851,933,21.8,0.58,0.64,True,10,1,1,1,1
150,Гоголев Виктор Александрович,27,2491,152328,31322,846,1281,21.96,0.56,0.84,False,0,0,2,0,0
151,Добровольский Алексей Юрьевич,27,4872,152328,31322,846,1281,21.96,0.56,0.84,False,4,0,2,0,2
152,Орлов Степан Владимирович,27,23007,152328,31322,846,1281,21.96,0.56,0.84,True,10,1,2,1,1
153,Щербакова Ольга Александровна,27,1645,152328,31322,846,1281,21.96,0.56,0.84,False,5,0,2,0,2
154,Антонцев Михаил Иванович,28,14280,150339,29049,890,1694,21.04,0.59,1.13,True,10,1,1,1,1
155,Жармуханов Николай Люкманович,28,604,150339,29049,890,1694,21.04,0.59,1.13,False,0,0,1,0,0
156,Каров Кирилл Николаевич,28,1787,150339,29049,890,1694,21.04,0.59,1.13,False,5,0,1,0,2
157,Куимов Владимир Михайлович,28,5216,150339,29049,890,1694,21.04,0.59,1.13,False,4,0,1,0,2
158,Мирошина Марина Геннадьевна,28,5365,150339,29049,890,1694,21.04,0.59,1.13,False,8,0,1,0,2
159,Яблоков Алексей Владимирович,28,3241,150339,29049,890,1694,21.04,0.59,1.13,False,9,0,1,0,2
160,Гендин Геннадий Васильевич,29,4054,149556,27813,865,1607,20.25,0.58,1.07,False,8,0,2,0,2
161,Медведев Александр Константинович,29,7274,149556,27813,865,1607,20.25,0.58,1.07,False,4,0,2,0,2
162,Минько Нина Григорьевна,29,10941,149556,27813,865,1607,20.25,0.58,1.07,True,0,1,2,0,1
163,Петров Иван Евгеньевич,29,4835,149556,27813,865,1607,20.25,0.58,1.07,False,5,0,2,0,2
164,Пороховниченко Юрий Иванович,29,1308,149556,27813,865,1607,20.25,0.58,1.07,False,9,0,2,0,2
165,Сонкин Виктор Николаевич,29,815,149556,27813,865,1607,20.25,0.58,1.07,False,0,0,2,0,0
166,Давыдов Денис Владимирович,30,5417,159465,29484,856,1570,20.01,0.54,0.98,False,4,0,1,0,2
167,Елисеев Сергей Геннадиевич,30,1645,159465,29484,856,1570,20.01,0.54,0.98,False,5,0,1,0,2
168,Мишин Алексей Валентинович,30,16069,159465,29484,856,1570,20.01,0.54,0.98,True,0,1,1,0,1
169,Новиков Дмитрий Владимирович,30,2352,159465,29484,856,1570,20.01,0.54,0.98,False,9,0,1,0,2
170,Поняхина Марина Анатольевна,30,1489,159465,29484,856,1570,20.01,0.54,0.98,False,8,0,1,0,2
171,Репкина Елена Владимировна,30,3860,159465,29484,856,1570,20.01,0.54,0.98,False,0,0,1,0,0
172,Анохин Сергей Владимирович,31,1346,148225,28338,890,1544,20.76,0.6,1.04,False,8,0,4,0,2
173,Грязнова Варвара Леонидовна,31,4259,148225,28338,890,1544,20.76,0.6,1.04,False,9,0,4,0,2
174,Зверев Сергей Иванович,31,16018,148225,28338,890,1544,20.76,0.6,1.04,True,10,1,4,1,1
175,Курафеев Александр Юрьевич,31,4536,148225,28338,890,1544,20.76,0.6,1.04,False,4,0,4,0,2
176,Новикова Анна Сергеевна,31,1033,148225,28338,890,1544,20.76,0.6,1.04,False,5,0,4,0,2
177,Сухов Олег Владимирович,31,2288,148225,28338,890,1544,20.76,0.6,1.04,False,0,0,4,1,0
178,Гончаров Кирилл Алексеевич,32,7944,152142,30832,679,2023,22.04,0.45,1.33,False,9,0,4,0,2
179,Дьячков Роман Михайлович,32,4326,152142,30832,679,2023,22.04,0.45,1.33,False,4,0,4,0,2
180,Журавский Сергей Владимирович,32,1807,152142,30832,679,2023,22.04,0.45,1.33,False,8,0,4,0,2
181,Ломакина Татьяна Евгеньевна,32,12036,152142,30832,679,2023,22.04,0.45,1.33,True,10,1,4,1,1
182,Почукаев Анатолий Юрьевич,32,2927,152142,30832,679,2023,22.04,0.45,1.33,False,7,0,4,0,0
183,Чернышов Борис Александрович,32,1828,152142,30832,679,2023,22.04,0.45,1.33,False,5,0,4,0,2
184,Шинкаренко Татьяна Андреевна,32,1510,152142,30832,679,2023,22.04,0.45,1.33,False,0,0,4,0,0
185,Греков Платон Евгеньевич,33,2403,176030,32040,702,1287,19.33,0.4,0.73,False,5,0,3,0,2
186,Гусева Людмила Ивановна,33,18979,176030,32040,702,1287,19.33,0.4,0.73,True,10,1,3,1,1
187,Макаров Вячеслав Геннадьевич,33,2199,176030,32040,702,1287,19.33,0.4,0.73,False,8,0,3,0,2
188,Попов Александр Викторович,33,3143,176030,32040,702,1287,19.33,0.4,0.73,False,9,0,3,0,2
189,Тарасов Антон Александрович,33,6155,176030,32040,702,1287,19.33,0.4,0.73,False,4,0,3,0,2
190,Животов Геннадий Васильевич,34,5424,168565,31214,504,1453,19.68,0.3,0.86,False,4,0,3,0,2
191,Кочетков Владимир Валерьевич,34,7034,168565,31214,504,1453,19.68,0.3,0.86,False,8,0,3,0,2
192,Огородников Георгий Борисович,34,3358,168565,31214,504,1453,19.68,0.3,0.86,False,9,0,3,0,2
193,Семенников Александр Григорьевич,34,13913,168565,31214,504,1453,19.68,0.3,0.86,True,10,1,3,1,1
194,Юриков Антон Вадимович,34,2209,168565,31214,504,1453,19.68,0.3,0.86,False,5,0,3,0,2
195,Анохина Ольга Ярославовна,35,6393,177390,35112,463,1823,21.08,0.26,1.03,False,4,0,3,0,2
196,Борщев Валерий Васильевич,35,5420,177390,35112,463,1823,21.08,0.26,1.03,False,9,0,3,0,2
197,Васильев Сергей Иванович,35,8579,177390,35112,463,1823,21.08,0.26,1.03,False,8,0,3,0,2
198,Лайшев Ренат Алексеевич,35,13771,177390,35112,463,1823,21.08,0.26,1.03,True,0,1,3,0,1
199,Паращенко Сергей Николаевич,35,869,177390,35112,463,1823,21.08,0.26,1.03,False,5,0,3,0,2
200,Устинов Арсений Григорьевич,35,1126,177390,35112,463,1823,21.08,0.26,1.03,False,0,0,3,0,0
201,Волков Николай Юрьевич,36,4561,145974,27853,805,1840,20.89,0.55,1.26,False,4,0,3,0,2
202,Гринченко Владимир Владимирович,36,1137,145974,27853,805,1840,20.89,0.55,1.26,False,5,0,3,0,2
203,Росс Сергей Геннадьевич,36,4843,145974,27853,805,1840,20.89,0.55,1.26,False,8,0,3,0,2
204,Семенов Григорий Викторович,36,3515,145974,27853,805,1840,20.89,0.55,1.26,False,9,0,3,0,2
205,Шарапова Ольга Викторовна,36,15222,145974,27853,805,1840,20.89,0.55,1.26,True,0,1,3,0,1
206,Вышегородцев Михаил Михайлович,37,4454,174390,32568,815,1799,20.17,0.47,1.03,False,11,0,6,0,0
207,Губенко Николай Николаевич,37,11145,174390,32568,815,1799,20.17,0.47,1.03,True,4,0,6,0,2
208,Мишин Геннадий Александрович,37,1203,174390,32568,815,1799,20.17,0.47,1.03,False,5,0,6,0,2
209,Рамазанов Сираждин Омарович,37,434,174390,32568,815,1799,20.17,0.47,1.03,False,12,0,6,0,0
210,Рублева Юлия Владимировна,37,3091,174390,32568,815,1799,20.17,0.47,1.03,False,8,0,6,0,2
211,Русакова Елена Леонидовна,37,9002,174390,32568,815,1799,20.17,0.47,1.03,False,9,0,6,0,2
212,Сильнов Алексей Сергеевич,37,4421,174390,32568,815,1799,20.17,0.47,1.03,False,0,0,6,0,0
213,Балакин Михаил Дмитриевич,38,20450,184405,42769,292,1470,24.15,0.16,0.8,True,5,0,2,0,2
214,Сагенбаев Игорь Александрович,38,9399,184405,42769,292,1470,24.15,0.16,0.8,False,4,0,2,0,2
