name,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won,declined,smart_vote,joined_united_rus,state_employee,party
Андреева Александра Александровна,16,1290,146716,31391,404,2022,23.049292510700948,1.1946654049738297,5.979241210042287,False,0,0,-1,0,0
Андреева Александра Сергеевна,16,5855,146716,31391,404,2022,23.049292510700948,1.1946654049738297,5.979241210042287,False,0,0,-1,-1,4
Гордиенко Татьяна Владимировна,16,1466,146716,31391,404,2022,23.049292510700948,1.1946654049738297,5.979241210042287,False,0,0,-1,-1,3
Косова Вера Александровна,16,1395,146716,31391,404,2022,23.049292510700948,1.1946654049738297,5.979241210042287,False,0,0,-1,-1,5
Молев Антон Ильич,16,10419,146716,31391,404,2022,23.049292510700948,1.1946654049738297,5.979241210042287,False,0,0,-1,1,0
Тимонов Михаил Леонидович,16,12293,146716,31391,404,2022,23.049292510700948,1.1946654049738297,5.979241210042287,True,0,1,0,-1,8
Максимов Виктор Валерьевич,17,13505,146150,27344,359,1825,20.20390010263428,1.2157951774586833,6.180574370089406,True,0,1,0,-1,4
Медведков Андрей Александрович,17,3580,146150,27344,359,1825,20.20390010263428,1.2157951774586833,6.180574370089406,False,0,0,-1,-1,8
Татулова Анастасия Анатольевна,17,8318,146150,27344,359,1825,20.20390010263428,1.2157951774586833,6.180574370089406,False,0,0,-1,0,0
Хованец Илья Николаевич,17,2645,146150,27344,359,1825,20.20390010263428,1.2157951774586833,6.180574370089406,False,0,0,-1,-1,5
Марусенко Марья Михайловна,18,4516,142432,32958,383,2885,25.433891260390922,1.0572516976757025,7.9638933362778115,False,0,0,-1,0,0
Медведев Антон Владимирович,18,4629,142432,32958,383,2885,25.433891260390922,1.0572516976757025,7.9638933362778115,False,0,0,-1,-1,5
Табашников Николай Игоревич,18,8386,142432,32958,383,2885,25.433891260390922,1.0572516976757025,7.9638933362778115,False,0,0,-1,1,0
Шестакова Дарья Андреевна,18,1912,142432,32958,383,2885,25.433891260390922,1.0572516976757025,7.9638933362778115,False,0,0,-1,-1,8
Янчук Елена Юрьевна,18,15246,142432,32958,383,2885,25.433891260390922,1.0572516976757025,7.9638933362778115,True,0,1,0,-1,4
Волков Кирилл Олегович,19,2955,145292,27660,362,2284,20.85868458001817,1.1944829406718143,7.536461426780176,False,0,0,-1,-1,5
Ильин Роман Анатольевич,19,2224,145292,27660,362,2284,20.85868458001817,1.1944829406718143,7.536461426780176,False,0,0,-1,-1,3
Назарова Ирина Александровна,19,11558,145292,27660,362,2284,20.85868458001817,1.1944829406718143,7.536461426780176,False,0,0,-1,1,0
Шереметьев Олег Михайлович,19,12172,145292,27660,362,2284,20.85868458001817,1.1944829406718143,7.536461426780176,True,0,1,0,-1,4
