name,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won,declined,joined_united_rus,ur_affiliated,party,affiliation
Душенко Вячеслав Владимирович,15,1634,145492,26590,312,2058,19.904874494817584,1.0773480662983426,7.106353591160221,False,2,0,0,8,2
Крапухин Алексей Игоревич,15,3467,145492,26590,312,2058,19.904874494817584,1.0773480662983426,7.106353591160221,False,2,0,0,9,2
Метельский Андрей Николаевич,15,15423,145492,26590,312,2058,19.904874494817584,1.0773480662983426,7.106353591160221,True,2,1,1,10,1
Тимонин Максим Анатольевич,15,4064,145492,26590,312,2058,19.904874494817584,1.0773480662983426,7.106353591160221,False,2,0,0,4,2
Шилов Станислав Александрович,15,1953,145492,26590,312,2058,19.904874494817584,1.0773480662983426,7.106353591160221,False,2,0,0,0,0
Юрьев Михаил Владимирович,15,1294,145492,26590,312,2058,19.904874494817584,1.0773480662983426,7.106353591160221,False,2,0,0,5,2
Грищенко Елена Аркадьевна,16,3324,145793,29538,307,1823,21.721207465378995,0.96943286598459,5.756599722116963,False,1,0,0,9,2
Лазарев Николай Леонидович,16,1422,145793,29538,307,1823,21.721207465378995,0.96943286598459,5.756599722116963,False,1,0,0,5,2
Молев Антон Ильич,16,14476,145793,29538,307,1823,21.721207465378995,0.96943286598459,5.756599722116963,True,1,1,0,0,1
Мустафин Марат Махсутович,16,729,145793,29538,307,1823,21.721207465378995,0.96943286598459,5.756599722116963,False,1,0,0,0,0
Парфенов Денис Андреевич,16,6098,145793,29538,307,1823,21.721207465378995,0.96943286598459,5.756599722116963,False,1,0,0,4,2
Тимонов Михаил Леонидович,16,4431,145793,29538,307,1823,21.721207465378995,0.96943286598459,5.756599722116963,False,1,0,0,8,2
Андреев Андрей Владимирович,17,1628,147050,31108,283,2068,22.753485209112547,0.845811291431304,6.180698765653486,False,2,0,0,5,2
Брумель Игорь Николаевич,17,1210,147050,31108,283,2068,22.753485209112547,0.845811291431304,6.180698765653486,False,2,0,0,8,2
Петров Михаил Владимирович,17,5703,147050,31108,283,2068,22.753485209112547,0.845811291431304,6.180698765653486,False,2,0,0,4,2
Пинясов Николай Сергеевич,17,2218,147050,31108,283,2068,22.753485209112547,0.845811291431304,6.180698765653486,False,2,0,0,9,2
Пономарев Алексей Анатольевич,17,3148,147050,31108,283,2068,22.753485209112547,0.845811291431304,6.180698765653486,False,2,0,1,0,0
Сметанов Александр Юрьевич,17,18190,147050,31108,283,2068,22.753485209112547,0.845811291431304,6.180698765653486,True,2,1,1,10,1
Бабыкина Галина Дмитриевна,18,1282,145360,31333,262,2563,23.498899284534943,0.7670238304350372,7.503366707652673,False,2,0,0,0,0
Бурд Семен Яковлевич,18,3416,145360,31333,262,2563,23.498899284534943,0.7670238304350372,7.503366707652673,False,2,0,0,9,2
Киреев Андрей Николаевич,18,2117,145360,31333,262,2563,23.498899284534943,0.7670238304350372,7.503366707652673,False,2,0,0,5,2
Махмутова Айгуль Фатиховна,18,654,145360,31333,262,2563,23.498899284534943,0.7670238304350372,7.503366707652673,False,2,0,0,8,2
Назарова Ирина Александровна,18,13921,145360,31333,262,2563,23.498899284534943,0.7670238304350372,7.503366707652673,True,2,1,0,0,1
Погорелов Владимир Васильевич,18,1489,145360,31333,262,2563,23.498899284534943,0.7670238304350372,7.503366707652673,False,2,0,0,0,0
Чуканова Маргарита Алексеевна,18,10182,145360,31333,262,2563,23.498899284534943,0.7670238304350372,7.503366707652673,False,2,0,0,4,2
Карасева Вера Юрьевна,19,4305,149223,30500,259,2268,22.13264711204037,0.7842068610530778,6.867108729221546,False,0,0,0,9,2
Кругляков Виктор Михайлович,19,16855,149223,30500,259,2268,22.13264711204037,0.7842068610530778,6.867108729221546,True,0,1,1,10,1
Лапин Юрий Ерминингельдович,19,6073,149223,30500,259,2268,22.13264711204037,0.7842068610530778,6.867108729221546,False,0,0,0,4,2
Майоров Максим Александрович,19,2567,149223,30500,259,2268,22.13264711204037,0.7842068610530778,6.867108729221546,False,0,0,0,8,2
Новиков Михаил Михайлович,19,1842,149223,30500,259,2268,22.13264711204037,0.7842068610530778,6.867108729221546,False,0,0,0,5,2
Корсаков Евгений Геннадьевич,20,2679,150742,31733,286,1486,22.2267184991575,0.853603939710491,4.435158931502761,False,1,0,0,5,2
Молохов Александр Владимирович,20,2620,150742,31733,286,1486,22.2267184991575,0.853603939710491,4.435158931502761,False,1,0,0,9,2
Павленко Александр Александрович,20,2356,150742,31733,286,1486,22.2267184991575,0.853603939710491,4.435158931502761,False,1,0,0,8,2
Тимченко Александр Николаевич,20,6379,150742,31733,286,1486,22.2267184991575,0.853603939710491,4.435158931502761,False,1,0,0,4,2
Шибаев Андрей Вячеславович,20,17009,150742,31733,286,1486,22.2267184991575,0.853603939710491,4.435158931502761,True,1,0,0,7,2
Шульмин Виталий Юрьевич,20,1201,150742,31733,286,1486,22.2267184991575,0.853603939710491,4.435158931502761,False,1,0,0,0,0
Балабуткин Алексей Алексеевич,21,1462,156765,34580,462,2436,23.90712212547444,1.232723197609264,6.499813223757938,False,0,0,0,0,0
Зотов Владимир Борисович,21,12037,156765,34580,462,2436,23.90712212547444,1.232723197609264,6.499813223757938,False,0,0,1,10,1
Катков Валерий Семенович,21,5051,156765,34580,462,2436,23.90712212547444,1.232723197609264,6.499813223757938,False,0,0,0,8,2
Клычков Андрей Евгеньевич,21,13968,156765,34580,462,2436,23.90712212547444,1.232723197609264,6.499813223757938,True,0,0,0,4,2
Липагин Артём Владимирович,21,858,156765,34580,462,2436,23.90712212547444,1.232723197609264,6.499813223757938,False,0,0,0,5,2
Родионова Светлана Сергеевна,21,3035,156765,34580,462,2436,23.90712212547444,1.232723197609264,6.499813223757938,False,0,0,0,9,2
Власов Александр Витальевич,22,3045,153529,30585,261,1809,21.26959727478196,0.799265043638034,5.539733578318788,False,3,0,0,5,2
Волков Владимир Николаевич,22,5828,153529,30585,261,1809,21.26959727478196,0.799265043638034,5.539733578318788,False,3,0,0,4,2
Караваева Марина Степановна,22,3203,153529,30585,261,1809,21.26959727478196,0.799265043638034,5.539733578318788,False,3,0,0,9,2
Святенко Инна Юрьевна,22,18158,153529,30585,261,1809,21.26959727478196,0.799265043638034,5.539733578318788,True,3,1,1,10,1
Солянин Валерий Владимирович,22,1335,153529,30585,261,1809,21.26959727478196,0.799265043638034,5.539733578318788,False,3,0,0,8,2
Гуличева Елена Петровна,23,5935,148145,26950,280,2025,19.7475446353235,0.9571013501965476,6.921893693385746,False,3,0,0,4,2
Новиков Юрий Николаевич,23,2496,148145,26950,280,2025,19.7475446353235,0.9571013501965476,6.921893693385746,False,3,0,0,5,2
Платонов Владимир Михайлович,23,14201,148145,26950,280,2025,19.7475446353235,0.9571013501965476,6.921893693385746,True,3,1,1,10,1
Прочик Евгений Евгеньевич,23,1832,148145,26950,280,2025,19.7475446353235,0.9571013501965476,6.921893693385746,False,3,0,0,9,2
Шишкин Сергей Владимирович,23,3659,148145,26950,280,2025,19.7475446353235,0.9571013501965476,6.921893693385746,False,3,0,0,8,2
