name,single_mandate,votes,potential_voters,inside_voters,early_voters,outside_voters,attendance,early,outside,won,declined,smart_vote,joined_united_rus,state_employee,party,affiliation
Молев Антон Ильич,16,10419,146716,31391,404,2022,23.049292510700948,1.1946654049738297,5.979241210042287,False,0,0,-1,1,0,1
Тимонов Михаил Леонидович,16,12293,146716,31391,404,2022,23.049292510700948,1.1946654049738297,5.979241210042287,True,0,1,0,-1,8,2
Максимов Виктор Валерьевич,17,13505,146150,27344,359,1825,20.20390010263428,1.2157951774586833,6.180574370089406,True,0,1,0,-1,4,2
Медведков Андрей Александрович,17,3580,146150,27344,359,1825,20.20390010263428,1.2157951774586833,6.180574370089406,False,0,0,-1,-1,8,2
Татулова Анастасия Анатольевна,17,8318,146150,27344,359,1825,20.20390010263428,1.2157951774586833,6.180574370089406,False,0,0,-1,0,0,1
Хованец Илья Николаевич,17,2645,146150,27344,359,1825,20.20390010263428,1.2157951774586833,6.180574370089406,False,0,0,-1,-1,5,2
Марусенко Марья Михайловна,18,4516,142432,32958,383,2885,25.43389126039092,1.0572516976757025,7.9638933362778115,False,0,0,-1,0,0,2
Медведев Антон Владимирович,18,4629,142432,32958,383,2885,25.43389126039092,1.0572516976757025,7.9638933362778115,False,0,0,-1,-1,5,2
Табашников Николай Игоревич,18,8386,142432,32958,383,2885,25.43389126039092,1.0572516976757025,7.9638933362778115,False,0,0,-1,1,0,1
Шестакова Дарья Андреевна,18,1912,142432,32958,383,2885,25.43389126039092,1.0572516976757025,7.9638933362778115,False,0,0,-1,-1,8,2
Янчук Елена Юрьевна,18,15246,142432,32958,383,2885,25.43389126039092,1.0572516976757025,7.9638933362778115,True,0,1,0,-1,4,2
Волков Кирилл Олегович,19,2955,145292,27660,362,2284,20.85868458001817,1.1944829406718145,7.536461426780176,False,0,0,-1,-1,5,2
Ильин Роман Анатольевич,19,2224,145292,27660,362,2284,20.85868458001817,1.1944829406718145,7.536461426780176,False,0,0,-1,-1,3,0
Назарова Ирина Александровна,19,11558,145292,27660,362,2284,20.85868458001817,1.1944829406718145,7.536461426780176,False,0,0,-1,1,0,1
Шереметьев Олег Михайлович,19,12172,145292,27660,362,2284,20.85868458001817,1.1944829406718145,7.536461426780176,True,0,1,0,-1,4,2
Букреев Виктор Васильевич,20,3664,165776,36081,635,2216,23.484702248817683,1.6310490085276894,5.691975752594267,False,1,0,-1,-1,5,2
Даниловцев Валерий Валерьевич,20,4137,165776,36081,635,2216,23.484702248817683,1.6310490085276894,5.691975752594267,False,1,0,-1,-1,8,2
Захаров Дмитрий Александрович,20,3112,165776,36081,635,2216,23.484702248817683,1.6310490085276894,5.691975752594267,False,1,0,-1,-1,3,0
Ступин Евгений Викторович,20,17496,165776,36081,635,2216,23.484702248817683,1.6310490085276894,5.691975752594267,True,1,1,0,-1,4,2
Шингаркин Максим Андреевич,20,8512,165776,36081,635,2216,23.484702248817683,1.6310490085276894,5.691975752594267,False,1,0,-1,-1,7,2
Бородина Екатерина Сергеевна,21,3173,151844,26730,313,3048,19.817049076683965,1.0401781263500711,10.129274533913796,False,0,0,-1,-1,8,2
Зюганов Леонид Андреевич,21,17233,151844,26730,313,3048,19.817049076683965,1.0401781263500711,10.129274533913796,True,0,1,0,-1,4,2
Шах Андрей Викторович,21,2767,151844,26730,313,3048,19.817049076683965,1.0401781263500711,10.129274533913796,False,0,0,-1,-1,5,2
Шевченко Вера Леонидовна,21,5362,151844,26730,313,3048,19.817049076683965,1.0401781263500711,10.129274533913796,False,0,0,-1,1,0,1
Бадмаев Владимир Владимирович,22,1809,151896,31501,330,2028,22.290909569705587,0.9746300835819132,5.989544877285212,False,0,0,-1,-1,3,0
Егоров Антон Олегович,22,2475,151896,31501,330,2028,22.290909569705587,0.9746300835819132,5.989544877285212,False,0,0,-1,-1,5,2
Монастырев Дмитрий Юрьевич,22,1849,151896,31501,330,2028,22.290909569705587,0.9746300835819132,5.989544877285212,False,0,0,-1,-1,8,2
Сараев Дмитрий Михайлович,22,11018,151896,31501,330,2028,22.290909569705587,0.9746300835819132,5.989544877285212,False,0,1,-1,-1,4,2
Святенко Инна Юрьевна,22,15190,151896,31501,330,2028,22.290909569705587,0.9746300835819132,5.989544877285212,True,0,0,1,1,0,1
Булатов Антон Эминович,23,2183,145703,26857,403,2616,20.50472536598423,1.3489088231356272,8.7561922613469,False,4,0,-1,-1,3,0
Гуличева Елена Геннадьевна,23,10782,145703,26857,403,2616,20.50472536598423,1.3489088231356272,8.7561922613469,False,4,1,-1,-1,4,2
Николаева Елена Леонидовна,23,12119,145703,26857,403,2616,20.50472536598423,1.3489088231356272,8.7561922613469,True,4,0,1,1,0,1
Померанцев Георгий Александрович,23,2694,145703,26857,403,2616,20.50472536598423,1.3489088231356272,8.7561922613469,False,4,0,-1,-1,5,2
Абраменко Екатерина Анатольевна,24,2565,173481,35129,650,4351,23.13221620811501,1.619735858460005,10.842262646399202,False,0,0,-1,-1,8,2
Балабуткин Алексей Алексеевич,24,1095,173481,35129,650,4351,23.13221620811501,1.619735858460005,10.842262646399202,False,0,0,-1,-1,3,0
Дягилев Игорь Владимирович,24,13241,173481,35129,650,4351,23.13221620811501,1.619735858460005,10.842262646399202,False,0,0,-1,1,0,1
Тарасов Антон Александрович,24,2975,173481,35129,650,4351,23.13221620811501,1.619735858460005,10.842262646399202,False,0,0,-1,0,0,0
Тарасов Павел Михайлович,24,15603,173481,35129,650,4351,23.13221620811501,1.619735858460005,10.842262646399202,True,0,1,0,-1,4,2
Шереметьев Николай Васильевич,24,3105,173481,35129,650,4351,23.13221620811501,1.619735858460005,10.842262646399202,False,0,0,-1,-1,5,2
Коцюба Владислав Вадимович,25,887,143226,27708,351,3067,21.73208774943097,1.1276746128638435,9.853498682773244,False,3,0,-1,-1,8,2
Меркулов Денис Валерьевич,25,2967,143226,27708,351,3067,21.73208774943097,1.1276746128638435,9.853498682773244,False,3,0,-1,-1,5,2
Орел Андрей Викторович,25,10488,143226,27708,351,3067,21.73208774943097,1.1276746128638435,9.853498682773244,False,3,1,-1,-1,4,2
Полищук Станислав Петрович,25,642,143226,27708,351,3067,21.73208774943097,1.1276746128638435,9.853498682773244,False,3,0,-1,0,0,0
Ракитин Дмитрий Андреевич,25,1344,143226,27708,351,3067,21.73208774943097,1.1276746128638435,9.853498682773244,False,3,0,-1,-1,3,0
Смирнов Сергей Михайлович,25,1945,143226,27708,351,3067,21.73208774943097,1.1276746128638435,9.853498682773244,False,3,0,-1,-1,1,0
Стебенкова Людмила Васильевна,25,11600,143226,27708,351,3067,21.73208774943097,1.1276746128638435,9.853498682773244,True,3,0,1,1,0,1
Аксенов Илья Андреевич,26,2567,140568,25794,421,2154,20.18169142336805,1.4840142408967536,7.592794952236597,False,0,0,-1,-1,5,2
Анисимова Светлана Геннадьевна,26,3243,140568,25794,421,2154,20.18169142336805,1.4840142408967536,7.592794952236597,False,0,0,-1,-1,3,0
Исполатов Андрей Борисович,26,3709,140568,25794,421,2154,20.18169142336805,1.4840142408967536,7.592794952236597,False,0,1,-1,-1,4,2
Калинин Владимир Александрович,26,7087,140568,25794,421,2154,20.18169142336805,1.4840142408967536,7.592794952236597,False,0,0,-1,-1,8,2
Щитов Кирилл Владимирович,26,10553,140568,25794,421,2154,20.18169142336805,1.4840142408967536,7.592794952236597,True,0,0,1,1,0,1
Гоголев Виктор Александрович,27,1959,144980,29069,513,1875,21.69747551386398,1.630797596719331,5.9605175318689,False,0,0,-1,-1,3,0
Дрыга Алексей Сергеевич,27,11044,144980,29069,513,1875,21.69747551386398,1.630797596719331,5.9605175318689,False,0,1,-1,-1,4,2
Ерохов Сергей Викторович,27,1999,144980,29069,513,1875,21.69747551386398,1.630797596719331,5.9605175318689,False,0,0,-1,-1,8,2
Коровин Сергей Николаевич,27,2285,144980,29069,513,1875,21.69747551386398,1.630797596719331,5.9605175318689,False,0,0,-1,-1,5,2
Орлов Степан Владимирович,27,12943,144980,29069,513,1875,21.69747551386398,1.630797596719331,5.9605175318689,True,0,0,1,1,0,1
Елисеев Сергей Геннадиевич,28,2377,143737,26861,431,2631,20.817882660692792,1.4403635999064266,8.792567590148046,False,1,0,-1,-1,5,2
Лазарев Константин Александрович,28,6992,143737,26861,431,2631,20.817882660692792,1.4403635999064266,8.792567590148046,False,1,1,-1,-1,4,2
Павлинов Аркадий Борисович,28,7716,143737,26861,431,2631,20.817882660692792,1.4403635999064266,8.792567590148046,False,1,0,-1,-1,8,2
Самышина Елена Александровна,28,11570,143737,26861,431,2631,20.817882660692792,1.4403635999064266,8.792567590148046,True,1,0,1,1,0,1
Артемьев Олег Германович,29,11560,147489,25366,470,2065,18.917342988290653,1.684527436292606,7.40116841690262,True,1,0,1,1,0,1
Журавский Сергей Владимирович,29,2337,147489,25366,470,2065,18.917342988290653,1.684527436292606,7.40116841690262,False,1,0,-1,-1,8,2
Сергеев Николай Владимирович,29,9288,147489,25366,470,2065,18.917342988290653,1.684527436292606,7.40116841690262,False,1,1,-1,-1,4,2
Чернышов Борис Александрович,29,3510,147489,25366,470,2065,18.917342988290653,1.684527436292606,7.40116841690262,False,1,0,-1,-1,5,2
Викулин Петр Николаевич,30,2641,155055,31819,316,1799,21.88513753184354,0.9312194259444804,5.301467554664938,False,3,0,-1,-1,3,0
Галибин Илья Геннадьевич,30,1387,155055,31819,316,1799,21.88513753184354,0.9312194259444804,5.301467554664938,False,3,0,-1,-1,5,2
Жуковский Владислав Сергеевич,30,8346,155055,31819,316,1799,21.88513753184354,0.9312194259444804,5.301467554664938,False,3,1,-1,-1,4,2
Русецкая Маргарита Николаевна,30,9645,155055,31819,316,1799,21.88513753184354,0.9312194259444804,5.301467554664938,True,3,0,1,1,0,1
Цыба Алексей Николаевич,30,1156,155055,31819,316,1799,21.88513753184354,0.9312194259444804,5.301467554664938,False,3,0,-1,-1,8,2
Юнеман Роман Александрович,30,9561,155055,31819,316,1799,21.88513753184354,0.9312194259444804,5.301467554664938,False,3,0,-1,0,0,2
Жандарова Юлия Александровна,31,2349,144846,27625,614,1608,20.606022948510837,2.057158173350756,5.387476128254096,False,1,0,-1,-1,8,2
Зверев Сергей Иванович,31,8774,144846,27625,614,1608,20.606022948510837,2.057158173350756,5.387476128254096,False,1,0,-1,1,0,1
Милешин Андрей Леонидович,31,2669,144846,27625,614,1608,20.606022948510837,2.057158173350756,5.387476128254096,False,1,0,-1,-1,3,0
Никитина Любовь Евгеньевна,31,13173,144846,27625,614,1608,20.606022948510837,2.057158173350756,5.387476128254096,True,1,1,0,-1,4,2
Шманцарь Юлия Александровна,31,1755,144846,27625,614,1608,20.606022948510837,2.057158173350756,5.387476128254096,False,1,0,-1,-1,5,2
