name,declined,parties,won
Мжельский Александр Александрович,3,3,0
Мизонов Юрий Александрович,3,10,1
Огаркова Светлана Владимировна,3,10,1
Петухова Татьяна Анатольевна,3,10,1
Проскуркина Галина Сергеевна,3,8,0
Садковский Максим Валентинович,0,5,0
Светлова Татьяна Анатольевна,0,10,1
Свидерский Арсений Андреевич,0,8,0
Сушкин Вадим Анатольевич,0,5,0
Тернавский Алексей Петрович,0,10,1
Фадеева Ольга Викторовна,0,9,0
Анищук Георгий Иванович,1,10,1
Бакулина Октябрина Александровна,1,3,0
Балмышев Алексей Валерьевич,1,5,0
Балмышева Роза Ахсановна,1,5,0
Бобков Константин Валерьевич,1,9,0
Букляков Сергей Васильевич,1,8,0
Гамула Николай Никифорович,1,10,1
Иванова Анастасия Павловна,1,4,0
Козырева Елена Викторовна,1,5,0
Костенко Светлана Александровна,1,0,0
Крутова Наталья Олеговна,1,10,1
Лайцева Наталья Львовна,1,10,1
Макаров Виктор Константинович,1,10,1
Перевалов Игорь Олегович,1,4,0
Перевалова Ирина Викторовна,1,4,0
Перков Иван Евгеньевич,1,4,0
Привалов Антон Евгеньевич,1,5,0
Ремизов Дмитрий Олегович,1,8,0
Скорик Николай Андреевич,1,14",0
Титоренко Антон Николаевич,0,5,0
Токарева Надежда Николаевна,0,8,0
Шоладеми Самсон Бартоломиувич,0,4,0
Шурлов Алексей Евгеньевич,0,8,0
Аксенова Мария Владимировна,1,9,0
Борисов Гордей Васильевич,1,4,0
Вильховая Ольга Павловна,1,4,0
Галстян Карен Шмавонович,1,5,0
Громов Иван Игоревич,1,10,1
Данилов Дмитрий Евгеньевич,1,8,0
Жалнин Георгий Анатольевич,1,8,0
Зимин Владислав Викторович,1,10,1
Кокова Ирина Викторовна,1,10,1
Кононов Алексей Алексеевич,1,5,0
Кочеткова Людмила Алексеевна,1,9,0
Ларкин Виктор Сергеевич,1,10,1
Овчинников Сергей Евгеньевич,1,10,1
Проскуркин Петр Сергеевич,1,5,0
Трифонова Анна Георгиевна,1,8,0
Фонарев Михаил Алексеевич,1,8,0
Чернышев Даниил Александрович,1,6,0
Ахапкина Екатерина Валерьевна,2,0,1
Батлук Александр Викторович,2,0,0
Гожин Виктор Васильевич,2,10,1
Ерофеев Дмитрий Леонидович,2,4,0
Карданец Сергей Григорьевич,2,9,0
Кобаладзе Ярослав Сергеевич,2,4,0
Кустов Алексей Евгеньевич,2,5,0
Левин Станислав Леонидович,2,5,0
Максимов Виктор Алексеевич,2,0,0
Марченко Александр Анатольевич,2,0,0
Мингазеева Таскиря Фаруковна,2,10,1
Митин Александр Константинович,2,4,0
Муралова Анастасия Игоревна,2,9,1
Назаренко Василий Александрович,2,3,0
Наконечная Людмила Валерьевна,2,10,0
Никитина Илона Олеговна,2,0,0
Романова Маргарита Викторовна,2,0,0
Серенов Иван Иванович,0,4,0
Барац Фридрих Яковлевич,1,9,1
Берестнева Оксана Александровна,1,10,0
Богачева Людмила Валентиновна,1,10,0
Коваленко Лариса Валентиновна,1,4,0
Малинина Елена Викторовна,1,4,0
Медведев Антон Владимирович,1,5,1
Меламуд Вадим Эмильевич,1,10,0
Никоноров Антон Степанович,1,5,0
Сатункин Денис Павлович,1,5,0
Фомичева Ирина Евгеньевна,1,10,0
Царенко Татьяна Владимировна,1,0,1
Шкурский Сергей Владимирович,1,4,0
Янчук Елена Юрьевна,1,4,1
Козанков Артём Александрович,1,3,0
Агломазов Алексей Львович,1,4,0
Калинин Игорь Анатольевич,1,4,0
Калюжин Алексей Андреевич,1,4,0
Калюжина Светлана Евгеньевна,1,4,0
Николаев Станислав Викторович,1,4,0
Белов Даниил Романович,1,5,0
Левин Станислав Леонидович,1,5,0
Мельник Александр Федорович,1,5,0
Привалов Антон Евгеньевич,1,5,0
Киселев Григорий Робертович,1,10,1
Кувшинова Ирина Павловна,1,10,1
Петрикеева Анна Николаевна,1,10,1
Суворова Юлия Геннадьевна,1,10,1
Чернышев Руслан Михайлович,1,10,1
Ермилов Алексей Игоревич,1,7,0
Гавриков Антон Андреевич,1,0,0
Цветков Александр Павлович,1,0,0
Исунц Аревик Бениковна,2,3,0
Ананьев Юрий Владимирович,2,4,0
Анкудинов Игорь Викторович,2,4,0
Варнавский Александр Валерьевич,2,4,0
Клычев Антон Вячеславович,2,4,0
Семенова Мария Алексеевна,2,4,0
Емельянов Дмитрий Сергеевич,2,6,0
Протасов Роман Игоревич,2,5,0
Тельцов Игорь Владимирович,2,5,0
Бондаренко Андрей Григорьевич,2,10,1
Захаркина Ирина Олеговна,2,10,1
Захаров Владимир Викторович,2,10,1
Иренкова Татьяна Витальевна,2,10,1
Тимохин Владимир Петрович,2,10,1
Чудаев Геннадий Степанович,2,7,0
Першин Никита Сергеевич,2,9,0
Смирнов Сергей Сергеевич,2,9,0
Даниловцев Валерий Валерьевич,2,8,0
Кравченко Игорь Павлович,0,0,0
Бичева Ольга Николаевна,1,4,0
Большинская Ольга Николаевна,1,0,0
Боровиков Константин Юрьевич,1,9,0
Бушина Людмила Ильинична,1,4,0
Власов Олег Викторович,1,4,0
Востоков Юрий Александрович,1,3,0
Давыдов Дмитрий Иванович,1,9,0
Зуйков Николай Николаевич,1,0,0
Кустова Татьяна Владимировна,1,8,0
Леденева Людмила Степановна,1,10,1
Макаров Антон Игоревич,1,0,0
Машенских Дмитрий Валерьевич,1,14",0
Музякова Людмила Платоновна,1,10,1
Находнов Владимир Николаевич,1,0,0
Петров Игорь Борисович,1,10,1
Раздобаров Николай Дорофеевич,1,10,1
Свиридов Алексей Владимирович,1,4,0
Смирнов Андрей Анатольевич,1,5,0
Трунина Алевтина Александровна,1,7,0
Удальцов Николай Александрович,0,10,1
Чижикова Галина Федоровна,0,3,0
Власов Алексей Михайлович,2,4,0
Воробьев Иван Михайлович,2,4,0
Денисова Людмила Эдуардовна,2,7,0
Качнов Николай Павлович,2,9,0
Коваленко Николай Тимофеевич,2,0,0
Корженевский Игорь Борисович,2,10,1
Кузнецов Дмитрий Эдуардович,2,10,1
Кулиш Антон Сергеевич,2,9,0
Кучеркова Татьяна Ивановна,2,5,0
Лобанов Александр Николаевич,2,5,0
Машенских Галина Николаевна,2,3,0
Мецлер Андрей Владимирович,2,10,1
Наумкина Татьяна Николаевна,2,10,1
Попов Андрей Владимирович,2,10,1
Разумова Татьяна Евгеньевна,2,5,0
Рубан Артур Викторович,2,5,0
Султанов Марат Маликбегович,0,4,0
Фролов Александр Александрович,0,5,0
Мжачих Никита Дмитриевич,1,3,0
Савельева Надежда Владимировна,1,3,0
Гунин Константин Васильевич,1,4,0
Николаев Евгений Леонидович,1,4,0
Фролов Владимир Владимирович,1,4,0
Ерхова Светлана Викторовна,1,5,0
Привалов Антон Евгеньевич,1,5,0
Протасов Роман Игоревич,1,5,0
Сячин Алексей Валерьевич,1,5,0
Лопухина Мария Вадимовна,1,10,1
Мазилова Татьяна Александровна,1,10,1
Никитин Максим Николаевич,1,10,1
Шакин Олег Юрьевич,1,10,1
Яковлев Артем Сергеевич,1,7,0
Барабанов Родион Евгеньевич,1,9,0
Воробьева Александра Олеговна,1,9,0
Грудцына Людмила Юрьевна,1,9,0
Шилкина Татьяна Михайловна,1,9,0
Кузнецов Андрей Вадимович,1,17,0
Барканова Ирина Кирилловна,0,0,0
Васильева Вера Аркадьевна,0,0,0
Красовский Владислав Александрович,0,0,0
Соболева Екатерина Сергеевна,0,0,0
Тихоновский Максим Дмитриевич,0,0,0
Комбарова Елена Ивановна,0,3,0
Аганин Андрей Иванович,0,4,0
Кифа Татьяна Валерьевна,0,4,0
Кузьмина Елена Евгеньевна,0,4,0
Лимберова Инна Викторовна,0,4,0
Левин Станислав Леонидович,0,5,0
Тельцов Игорь Владимирович,0,5,0
Боринец Вера Егоровна,0,10,1
Борисов Владимир Игоревич,0,10,1
Змиева Кира Анатольевна,0,10,1
Новикова Людмила Юрьевна,0,10,1
Грибанова Людмила Ростиславна,0,7,0
Карелов Олег Андреевич,0,9,0
Михалкина Юлия Александровна,0,9,0
Шестаева Светлана Эдуардовна,0,9,0
Носов Герман Викторович,0,0,0
Саркисян Павел Степанович,0,0,0
Абрамов Дмитрий Валерьевич,5,4,0
Ходаков Владимир Владимирович,5,4,0
Шубина Майя Федоровна,5,4,0
Маслов Василий Николаевич,5,6,0
Букреев Виктор Васильевич,5,5,0
Буров Сергей Юрьевич,5,5,0
Земляков Дмитрий Владимирович,5,5,0
Бодриков Игорь Владимирович,5,10,1
Головин Николай Алексеевич,5,10,1
Дмитриева Марина Юрьевна,5,10,1
Чикунов Владимир Михайлович,5,10,1
Геллс Вероника Игоревна,5,9,0
Кишмария Шалико Акакиевич,5,9,0
Антонов Иосиф Геннадьевич,5,0,0
Плетнева Людмила Ивановна,5,0,0
Билялов Ансар Раисович,0,0,0
Бобкова Наталья Владимировна,0,4,0
Богданова Галина Ивановна,0,3,0
Бойко Игорь Валерьевич,0,5,0
Галкин Иван Алексеевич,0,4,0
Еремин Виктор Гаврилович,0,4,0
Жуков Сергей Иванович,0,4,0
Казакова Инна Владимировна,0,10,1
Левин Станислав Леонидович,0,5,0
Медведев Антон Владимирович,0,5,0
Палферова Елена Александровна,0,10,1
Панюшкин Антон Вячеславович,0,0,0
Пименов Юрий Львович,0,7,0
Привалов Антон Евгеньевич,0,5,0
Сарычихин Анатолий Николаевич,0,0,0
Саулин Максим Олегович,0,3,0
Семенова Надежда Ивановна,0,4,0
Синяков Александр Михайлович,0,0,0
Фролов Константин Александрович,0,10,1
Хаярова Альфия Абдулхаевна,0,10,1
Шарко Валерия Михайловна,0,8,0
Шумилов Сергей Владимирович,0,10,1
Щербаков Сергей Александрович,0,5,0
Белихина Ольга Сергеевна,0,7,0
Белов Даниил Романович,0,5,0
Бубнова Нина Викторовна,0,10,1
Букреев Виктор Васильевич,0,5,0
Быковский Егор Владимирович,0,9,0
Варданян Овик Торгомович,0,5,0
Воронина Татьяна Васильевна,0,10,1
Вторушина Александра Александровна,0,4,0
Горохов Александр Викторович,0,3,0
Зотова Ольга Викторовна,0,10,1
Исякаев Тимур Марсович,0,4,0
Кагирова Гузялия Фатеховна,0,3,0
Кузнецов Юрий Сергеевич,0,15,0
Ларина Татьяна Владимировна,0,6,0
Лихачев Илья Вячеславович,0,4,0
Лихачева Ирина Владимировна,0,4,0
Мельников Ярослав Дмитриевич,0,0,0
Старшинова Елена Валериевна,0,0,0
Федотов Михаил Ильич,0,4,0
Шилин Михаил Алексеевич,0,10,1
Юдин Олег Станиславович,0,10,1
Борисова Наталия Арнольдовна,0,10,1
Бородако Виктор Владимирович,0,4,0
Виноградова Светлана Сергеевна,0,10,1
Володичев Андрей Александрович,0,4,0
Губайдулин Эльмир Фаатович,0,0,0
Добуляк Людмила Михайловна,0,10,1
Завьялов Михаил Михайлович,0,5,0
Клочкова Маргарита Сергеевна,0,9,0
Ломоносова Людмила Михайловна,0,4,0
Мальцева Екатерина Викторовна,0,4,0
Мурзаева Наталья Сергеевна,0,4,0
Петухова Елена Петровна,0,5,0
Попов Ярослав Юрьевич,0,7,0
Рубцова Лидия Петровна,0,10,1
Сарычихин Алексей Анатольевич,0,0,0
Смирнов Андрей Борисович,0,10,1
Субботин Владимир Владимирович,0,0,0
Фарафонов Анатолий Анатольевич,0,5,0
Чурикова Людмила Александровна,0,3,0
Шатилов Сергей Геннадьевич,0,8,0
Шишкевич Дмитрий Владимирович,0,9,0
Ковальчук Григорий Евгеньевич,0,3,0
Антонов Александр Львович,0,4,0
Верчинова Лариса Александровна,0,4,0
Егоров Владимир Борисович,0,4,0
Башнин Андрей Алексеевич,0,5,0
Левин Станислав Леонидович,0,5,0
Привалов Антон Евгеньевич,0,5,0
Аксенов Денис Сергеевич,0,10,1
Бондаренко Валентина Евгеньевна,0,10,1
Емельяненко Григорий Владимирович,0,10,1
Космынин Алексей Иванович,0,10,1
Тюрин Андрей Викторович,0,10,1
Прокопчук Максим Сергеевич,0,7,0
Шведко Андрей Николаевич,0,9,0
Шерстюк Григорий Владимирович,0,9,0
Каменский Иван Алексеевич,0,17,0
Барсукова Светлана Васильевна,0,0,0
Букалов Евгений Олегович,0,0,0
Воронин Сергей Анатольевич,0,0,0
Доможилов Дмитрий Олегович,0,0,0
Сафин Альмир Наилевич,0,0,0
Киселёва Наталья Викторовна,1,3,0
Пилипьева Мария Олеговна,1,3,0
Лосев Владимир Михайлович,1,4,0
Мурадова Елена Самвеловна,1,4,0
Петров Михаил Владимирович,1,4,0
Славинская Елена Александровна,1,4,1
Соловьев Вячеслав Анатольевич,1,4,0
Ерхова Светлана Викторовна,1,5,0
Любомищенко Юрий Кимович,1,5,0
Михеев Сергей Евгеньевич,1,5,0
Сячин Алексей Валерьевич,1,5,0
Зимин Павел Игоревич,1,10,1
Зотов Николай Борисович,1,10,1
Козленко Григорий Борисович,1,10,1
Кряжевская Ираида Сергеевна,1,10,0
Лазовская Екатерина Германовна,1,10,1
Гусев Алексей Владимирович,1,7,0
Коженков Лев Владиславович,1,7,0
Луканова Лариса Александровна,1,8,0
Медведков Андрей Александрович,0,8,0
Макаров Владислав Вячеславович,0,17,0
Образцова Татьяна Николаевна,0,17,0
Абакумов Олег Александрович,0,0,0
Долгих Марк Витальевич,0,0,0
Ерохов Илья Николаевич,0,0,0
Кучин Андрей Геннадьевич,0,0,0
Плаксина Мария Сергеевна,0,0,0
Пчельникова Ульяна Ильинична,0,0,0
Русакова Анастасия Андреевна,2,3,0
Воробьев Алексей Владимирович,2,4,0
Максимов Виктор Валерьевич,2,4,0
Осипов Василий Сергеевич,2,4,0
Холодков Виталий Александрович,2,4,0
Комков Александр Викторович,2,5,0
Ротарь Мария Алексеевна,2,5,0
Гришкина Валентина Нинельевна,2,10,1
Петелин Юрий Николаевич,2,10,1
Пономарев Алексей Анатольевич,2,10,1
Шаклычева-Компанец Елена Олеговна,2,10,1
Яковлева Татьяна Владимировна,2,10,1
Гуртикова Екатерина Сергеевна,2,7,0
Трушкин Алексей Игоревич,2,8,0
Калинин Сергей Владимирович,2,21,0
Жеребятьев Даниил Алексеевич,2,0,0
Кузнецов Дмитрий Михайлович,0,0,0
Нахошкин Алексей Дмитриевич,0,0,0
Уткин Егор Сергеевич,0,0,0
Чулюкин Артем Васильевич,0,0,0
Петроченков Степан Сергеевич,1,3,0
Буртиев Омар Зетович,1,4,0
